0,5,3057
0,4,2685
0,7,2590
0,10,1656
0,1,1629
0,6,1349
0,0,1288
0,11,756
0,14,114
0,3,50
0,13,11
0,2,6
0,8,1
1,5,1865
1,7,1626
1,0,1508
1,4,1378
1,1,1114
1,6,757
1,10,729
1,11,604
1,14,140
1,3,34
1,8,9
1,2,6
1,13,3
2,7,681
2,0,601
2,5,475
2,1,377
2,6,370
2,4,351
2,10,116
2,14,31
2,11,21
2,13,13
2,3,10
2,2,4
3,0,627
3,5,71
3,1,62
3,4,44
3,7,34
3,6,21
3,10,2
3,2,1
3,3,1
3,13,1
4,0,212
4,1,9
4,5,5
4,13,4
4,6,3
4,4,2
4,7,2
5,0,160
6,0,80
6,1,63
6,7,63
6,5,30
6,4,27
6,6,14
6,11,13
6,14,5
6,10,1
6,13,1
7,0,404
7,4,311
7,5,291
7,10,223
7,1,191
7,7,149
7,6,96
7,14,8
7,13,2
7,2,1
7,3,1
8,7,1650
8,5,1552
8,4,1298
8,1,1015
8,6,899
8,0,853
8,10,668
8,14,19
8,13,9
8,3,2
8,15,2
9,0,2590
9,7,2585
9,5,2541
9,4,2090
9,1,1568
9,6,1386
9,10,1299
9,11,141
9,3,105
9,14,37
9,13,12
9,2,5
9,15,1
10,5,3648
10,4,3312
10,7,2936
10,10,2390
10,1,2259
10,6,1678
10,0,1085
10,11,487
10,14,106
10,3,26
10,13,11
10,2,6
11,0,4960
11,5,4794
11,4,3873
11,7,3223
11,10,2814
11,1,2587
11,6,2108
11,11,342
11,14,183
11,3,42
11,13,17
11,2,1
11,8,1
12,5,5121
12,4,4694
12,7,3839
12,10,3703
12,1,2954
12,0,2841
12,6,2346
12,11,420
12,14,189
12,3,80
12,13,16
12,2,10
12,8,2
13,5,4368
13,4,4092
13,0,3604
13,7,2996
13,10,2969
13,1,2721
13,6,1990
13,11,308
13,14,175
13,3,71
13,13,16
13,2,6
13,8,1
14,5,2834
14,7,2418
14,4,2232
14,1,1898
14,10,1461
14,0,1454
14,6,1359
14,11,187
14,14,168
14,3,65
14,13,11
14,2,5
14,15,3
15,0,4196
15,4,3719
15,5,3394
15,7,2930
15,1,2076
15,10,1808
15,6,1677
15,14,134
15,11,77
15,3,73
15,13,18
15,2,15
15,8,14
16,0,5904
16,5,3585
16,4,3415
16,7,3279
16,1,2171
16,10,2047
16,6,1930
16,11,222
16,14,122
16,3,82
16,13,16
16,2,5
16,15,3
16,8,1
17,7,3180
17,5,3005
17,4,2470
17,0,1972
17,1,1941
17,6,1646
17,10,1471
17,11,298
17,14,128
17,3,63
17,13,5
17,2,3
18,5,1950
18,7,1897
18,4,1583
18,0,1286
18,1,1151
18,10,1142
18,6,1017
18,11,87
18,3,67
18,14,61
18,13,13
18,2,8
18,8,1
19,5,1550
19,4,1350
19,7,1050
19,0,976
19,1,941
19,10,864
19,6,616
19,11,75
19,14,67
19,13,4
19,3,2
20,5,2141
20,4,1858
20,7,1261
20,1,1243
20,10,1136
20,0,916
20,6,810
20,11,264
20,14,69
20,3,36
20,13,7
20,8,3
20,2,2
20,15,1
21,5,3564
21,4,2911
21,7,2454
21,1,1962
21,10,1733
21,6,1453
21,0,606
21,11,530
21,14,122
21,3,30
21,13,11
21,2,5
21,8,1
22,5,4595
22,4,3587
22,7,3486
22,1,2459
22,10,2368
22,6,2151
22,0,2123
22,11,659
22,14,155
22,3,48
22,13,12
22,8,8
22,2,1
22,15,1
23,5,3404
23,4,2874
23,7,2251
23,10,2136
23,1,1873
23,6,1344
23,0,1124
23,11,360
23,14,161
23,8,20
23,13,17
23,3,5
23,2,2
