f89a3a50-efec-4411-a5d6-33199f14059d,1459508258,7,2,6067
f89a3a50-efec-4411-a5d6-33199f14059d,1459508271,256930,4,20544
f89a3a50-efec-4411-a5d6-33199f14059d,1459765202,2,2,10
f89a3a50-efec-4411-a5d6-33199f14059d,1459765205,2,6,6
f89a3a50-efec-4411-a5d6-33199f14059d,1459765208,2,9,14
f89a3a50-efec-4411-a5d6-33199f14059d,1459765210,2,10,10
f89a3a50-efec-4411-a5d6-33199f14059d,1459765213,2,8,8
f89a3a50-efec-4411-a5d6-33199f14059d,1459765215,2,4,3
f89a3a50-efec-4411-a5d6-33199f14059d,1459765220,2,5,5
f89a3a50-efec-4411-a5d6-33199f14059d,1459765222,2,10,10
f89a3a50-efec-4411-a5d6-33199f14059d,1459765225,2,7,49
f89a3a50-efec-4411-a5d6-33199f14059d,1459765227,3,4,4
f89a3a50-efec-4411-a5d6-33199f14059d,1459765231,2,6,6
f89a3a50-efec-4411-a5d6-33199f14059d,1459765234,2,10,35
f89a3a50-efec-4411-a5d6-33199f14059d,1459765236,7,5,359
f89a3a50-efec-4411-a5d6-33199f14059d,1459765245,4,6,17
f89a3a50-efec-4411-a5d6-33199f14059d,1459765251,3,2,0
f89a3a50-efec-4411-a5d6-33199f14059d,1459765254,3,4,1
f89a3a50-efec-4411-a5d6-33199f14059d,1459765258,7,2,271
f89a3a50-efec-4411-a5d6-33199f14059d,1459765265,4,2,15
f89a3a50-efec-4411-a5d6-33199f14059d,1459765270,20,4,4
f89a3a50-efec-4411-a5d6-33199f14059d,1459765291,2,4,12
f89a3a50-efec-4411-a5d6-33199f14059d,1459765293,2,9,17
f89a3a50-efec-4411-a5d6-33199f14059d,1459765295,2,10,10
f89a3a50-efec-4411-a5d6-33199f14059d,1459765298,3,3,3
f89a3a50-efec-4411-a5d6-33199f14059d,1459765301,2,8,8
f89a3a50-efec-4411-a5d6-33199f14059d,1459765303,2,9,8
f89a3a50-efec-4411-a5d6-33199f14059d,1459765306,2,10,10
f89a3a50-efec-4411-a5d6-33199f14059d,1459765308,2,6,48
f89a3a50-efec-4411-a5d6-33199f14059d,1459765313,2,10,10
f89a3a50-efec-4411-a5d6-33199f14059d,1459765316,2,8,8
f89a3a50-efec-4411-a5d6-33199f14059d,1459765318,2,8,28
f89a3a50-efec-4411-a5d6-33199f14059d,1459765321,2,6,299
f89a3a50-efec-4411-a5d6-33199f14059d,1459765325,2,4,272
f89a3a50-efec-4411-a5d6-33199f14059d,1459765329,7,6,245
f89a3a50-efec-4411-a5d6-33199f14059d,1459765339,2,3,44
f89a3a50-efec-4411-a5d6-33199f14059d,1459765342,3,3,243
f89a3a50-efec-4411-a5d6-33199f14059d,1459765346,6,5,17
f89a3a50-efec-4411-a5d6-33199f14059d,1459765352,2,7,7
f89a3a50-efec-4411-a5d6-33199f14059d,1459765355,2,12,27
f89a3a50-efec-4411-a5d6-33199f14059d,1459765361,2,5,5
f89a3a50-efec-4411-a5d6-33199f14059d,1459765364,2,7,10
