date,fail_rate
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.2
2016-04-04,0.2
2016-04-04,0.2
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-05,0.0
2016-04-05,0.0
2016-04-05,0.0
2016-04-05,0.0
2016-04-05,0.0
2016-04-05,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-08,0.0
2016-04-09,0.0
2016-04-09,0.0
2016-04-09,0.0
2016-04-09,0.0
2016-04-09,0.0
2016-04-09,0.0
2016-04-09,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-11,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-17,0.0
2016-04-18,0.0
2016-04-18,0.0
2016-04-18,0.0
2016-04-19,0.0
2016-04-19,0.0
2016-04-19,0.0
2016-04-19,0.0
2016-04-19,0.0
2016-04-19,0.0
2016-04-19,0.0
2016-04-19,0.0
2016-04-19,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.1
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.11111111
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-21,0.0
2016-04-23,0.5
2016-04-23,0.0
2016-04-23,0.0
2016-04-23,0.0
2016-04-23,0.0
2016-04-23,0.0
2016-04-23,0.0
2016-04-23,0.0
2016-04-23,0.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-24,0.0
2016-04-24,0.0
2016-04-24,0.0
2016-04-24,0.0
2016-04-26,0.0
2016-04-26,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-28,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
2016-04-30,0.0
